peak_frequency,power,mean_magnitude,std_magnitude,bandwidth,spectral_centroid,spectral_spread,spectral_flatness,spectral_entropy,label,capture,window
4044600.0,52523.66796875,141.2550811767578,180.4734649658203,13189100.0,4126736.7605641857,2412965.762611268,0.3678325359022788,17.57095535788038,wifi,capture_001.npy,1
1931900.0,169968.0,210.66546630859375,354.384033203125,9478000.0,2406155.9939373108,1461808.608639661,0.1393340178061669,17.096449352372705,wifi,capture_001.npy,2
6060050.0,43814.390625,107.9232406616211,179.3515167236328,12433550.0,5723861.201943513,1130326.4002015279,0.10500163612085617,15.35306394604329,wifi,capture_001.npy,3
9060250.0,52639.359375,132.9858856201172,186.96018981933594,802100.0,4853361.981997034,3375346.3905706406,0.25389945468045083,17.042251556793094,wifi,capture_001.npy,4
6062550.0,28368.271484375,87.26274108886719,144.06069946289062,3189950.0,5555287.032958681,1864398.3673252568,0.22902880008763302,15.718659597865116,wifi,capture_001.npy,5
7056800.0,64090.73828125,153.93963623046875,200.98089599609375,14562050.0,5774235.984262812,2583774.830974313,0.21542458633395026,16.546505825269403,wifi,capture_002.npy,1
5053100.0,80296.671875,197.09567260742188,203.5926513671875,13244000.0,5119995.165154476,1618232.9423674848,0.16195494080733758,16.272236247558816,wifi,capture_002.npy,2
7055900.0,153134.21875,247.07949829101562,303.4566345214844,11542350.0,3631652.2357519483,2319918.740033905,0.2250017742358697,17.249873028766586,wifi,capture_002.npy,3
3942400.0,51279.03125,137.2250213623047,180.13418579101562,13459750.0,5534945.331246479,2881050.9705008673,0.16464061388641169,16.260586344471893,wifi,capture_002.npy,4
7284150.0,88670.0,201.66488647460938,219.09194946289062,5601550.0,3966424.043582596,2283374.8814013978,0.2362106545389746,16.744517641043238,wifi,capture_002.npy,5
1058100.0,15950.8603515625,73.55973815917969,102.66365051269531,347000.0,2495907.3741320097,2509166.265276194,0.11548042308980118,14.963974727074648,wifi,capture_003.npy,1
9062000.0,179724.609375,320.07147216796875,277.99078369140625,12596350.0,3498724.2527317954,2952418.2164561865,0.2045568176804151,17.158921132653166,wifi,capture_003.npy,2
899250.0,358549.875,366.4757995605469,473.5455627441406,12483150.0,2721703.759417846,1848627.6195753207,0.23095296191127826,17.292518872806458,wifi,capture_003.npy,3
690500.0,192077.375,322.2239685058594,297.0674743652344,5751600.0,2097112.246014825,1745571.6843312548,0.1671281393299006,17.05973429410112,wifi,capture_003.npy,4
692200.0,219506.734375,409.3064270019531,227.9801788330078,8004900.0,2392685.669053065,1711960.1315954723,0.20012364150614187,17.17021960594193,wifi,capture_003.npy,5
3937300.0,83460.515625,167.1031494140625,235.6630096435547,13633000.0,2785439.7181984163,1858232.4906525621,0.20923489140136056,17.255045264727375,wifi,capture_004.npy,1
2970100.0,39062.265625,150.95330810546875,127.57493591308594,15151600.0,3203922.5375737348,2251951.437773047,0.23278639494055242,17.17689930878479,wifi,capture_004.npy,2
3944500.0,23833.015625,105.91478729248047,112.31684112548828,7360550.0,4147664.0579383774,1740117.9872479422,0.18003502815369016,15.827384709882143,wifi,capture_004.npy,3
3037300.0,20089.0390625,75.39234161376953,120.02095794677734,14403600.0,3595875.8732390306,2489215.5925827017,0.4298409952020221,17.625532008794426,wifi,capture_004.npy,4
3001600.0,10067.119140625,80.96454620361328,59.260955810546875,16339850.0,5469483.47558439,2714482.8663129956,0.39161021319567274,17.494251237489518,wifi,capture_004.npy,5
855450.0,677294.1875,327.2104797363281,755.1340942382812,11000250.0,2896009.6477398616,1996681.2023800688,0.2952651845886105,17.433399058751565,wifi,capture_005.npy,1
2826650.0,39481.28125,119.60498046875,158.66925048828125,11239550.0,3806918.077808259,2499146.4294167217,0.25152030950172916,17.009334927782614,wifi,capture_005.npy,2
3148000.0,76225.8125,159.1759033203125,225.5855712890625,11874550.0,2468103.4515926167,1677096.9254572738,0.2298239350835845,17.141023851028514,wifi,capture_005.npy,3
1230000.0,29970.8515625,89.23973083496094,148.34796142578125,4168450.0,2662509.15578427,2253150.7240968994,0.22872277252192083,16.377045447340933,wifi,capture_005.npy,4
3001600.0,24101.916015625,88.8047866821289,127.340576171875,19795200.0,2833815.14800492,3278511.498446503,0.2705197113685088,16.653972400506614,wifi,capture_005.npy,5
1196100.0,397484.125,172.40911865234375,606.4315185546875,6340200.0,3110353.312557613,2737244.9997890135,0.036731058884736344,14.996547579509853,bluetooth,capture_001.npy,1
9037350.0,66033.7109375,52.35767364501953,251.57980346679688,18992200.0,9327352.40383807,595065.6633446442,0.0050236159258462134,13.942779869980043,bluetooth,capture_001.npy,2
7061600.0,328529.5625,163.98199462890625,549.2171630859375,5248750.0,6290248.665108514,1765569.67149586,0.010483232730544816,14.997140793749987,bluetooth,capture_001.npy,3
8984650.0,379907.84375,168.49942016601562,592.8876953125,3375300.0,7150066.814549164,2575796.0189861986,0.03846464188092524,15.260307128051902,bluetooth,capture_001.npy,4
1059200.0,42174.453125,61.23051834106445,196.023681640625,6244450.0,3699008.692574675,2456845.3744627205,0.0825080859435244,15.41737412875866,bluetooth,capture_001.npy,5
3000000.0,53390.2890625,120.95918273925781,196.87347412109375,16581800.0,5557622.698907529,3206183.496069558,0.374045312486783,17.109340208353508,bluetooth,capture_002.npy,1
3000000.0,13206.49609375,68.64035034179688,92.16830444335938,16708250.0,6065610.070304634,2742941.9537715,0.27120144816280684,16.552594640181397,bluetooth,capture_002.npy,2
711850.0,207464.71875,266.7969055175781,369.1668395996094,14730850.0,3421048.888139662,2270894.7355101737,0.3217573348221165,17.59285683058335,bluetooth,capture_002.npy,3
